MSA,MSA_NO,unemp_2015,unemp_2016,unemp_2017,unemp_2018,unemp_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Abilene,10180,3.5,3.8,3.2,3.1,2.8,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060
Akron,10420,4.7,4.9,4.8,4.9,4,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479
Albany,10500,6.1,6.1,5.1,4.6,3.6,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726
Albany-Schenectady-Troy,10580,4.1,4,4.2,3.5,3.6,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381
Albuquerque,10740,5.7,5.6,5.1,4.5,4.2,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018
Alexandria,10780,5.1,5.9,4.5,5,5.5,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037
Allentown-Bethlehem-Easton,10900,3.9,4.7,4.4,3.9,4.6,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052
Altoona,11020,4.1,4.9,4.4,3.9,5,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
Amarillo,11100,2.8,3.2,2.5,2.6,2.3,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053
Ames,11180,2.2,2.1,1.5,1.5,2,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351
Anchorage,11260,5.7,5.7,6.4,5.6,5.2,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317
Ann Arbor,11460,2.5,2.6,3,2.8,2.2,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
Appleton,11540,3.6,3.3,2.4,2.6,2.8,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974
Asheville,11700,4.1,4,3.6,3,2.7,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680
Athens-Clarke County,12020,4.7,4.8,4,3.4,2.5,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750
Atlanta-Sandy Springs-Roswell,12060,4.8,5,4.1,3.5,2.7,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
Atlantic City-Hammonton,12100,7.4,7.2,6.5,5.3,5.4,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
Auburn-Opelika,12220,5,5,2.9,3.2,2.2,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
Augusta-Richmond County,12260,5.7,5.2,4.6,3.9,2.9,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980
Austin-Round Rock,12420,3,3.2,2.7,2.7,2.4,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083
Baltimore-Columbia-Towson,12580,4.8,4,3.9,3.5,2.9,2715738,2733785,2754637,2768233,2780055,2790053,2794111,2798707,2800743,2800053
Bangor,12620,3.7,3.3,2.5,3.4,2.7,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148
Barnstable Town,12700,6.2,3.8,4.2,3.7,3.4,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990
Baton Rouge,12940,4.1,4.6,3.4,3.9,4.5,827629,831493,836197,841986,846827,851167,856723,854295,854526,854884
Battle Creek,12980,3.9,4.2,4.8,4.2,3.5,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159
Bay City,13020,4.4,4.9,5.3,4.6,4.3,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126
Beaumont-Port Arthur,13140,6.6,7.4,6.7,5.7,5.4,389251,390905,389614,391195,391651,394825,396539,398129,393815,392563
Bellingham,13380,6.1,6,5,5.1,4.8,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
Billings,13740,3.4,3.5,3.6,3.4,3.2,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667
Binghamton,13780,5.5,5.3,5.5,4.4,4.8,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691
Birmingham-Hoover,13820,5.4,5.4,3.1,3.2,2.2,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435
Bismarck,13900,2.7,3,2.8,2.8,2.4,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949
Bloomington,14020,5.6,5,3.8,4.7,3.4,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
Boston-Cambridge-Nashua,14460,4,2.5,2.8,2.4,2.1,4566348,4609790,4656593,4702877,4746931,4778340,4809061,4841772,4859536,4873019
Boulder,14500,2.6,2.2,2.6,3.2,2,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196
Bowling Green,14540,4.7,3.6,3.1,3.4,3.9,159341,160985,162450,164653,166630,169507,171902,174981,176864,179240
Bridgeport-Stamford-Norwalk,14860,4.8,3.9,3.8,3.2,3.2,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332
Brownsville-Harlingen,15180,6.8,7.3,6,5.8,5.8,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163
Brunswick,15260,5.5,5.4,4.4,3.7,2.8,112534,112895,113281,113781,114607,115779,116571,117587,118282,118779
Burlington,15500,4.9,4.5,4,3.5,3.2,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509
Burlington-South Burlington,15540,2.4,2.1,1.9,1.8,1.6,211538,213235,213962,214827,215676,217152,217447,218975,219939,220411
Canton-Massillon,15940,5.3,5.2,5,5.2,4.4,404218,403331,403429,403365,403675,402433,401068,399327,398330,397520
Cape Coral-Fort Myers,15980,4.3,4.3,3.4,3.1,2.5,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577
Carson City,16180,6.7,5.3,4.9,4.4,3.3,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916
Casper,16220,5.6,6.6,5,4.4,4.1,75470,76399,78565,81103,81377,82137,80909,79586,79175,79858
Cedar Rapids,16300,3.6,3.5,3.2,2.7,3.1,258440,261028,261916,262706,264300,266312,268224,270653,272061,273032
Champaign-Urbana,16580,5.7,4.9,3.9,4.6,3.3,218255,219876,221131,222854,224351,225732,226722,226847,226284,226033
Charleston,16620,5.7,4.9,5.3,4.9,4.7,277805,276817,276704,275412,273606,270858,268130,264227,260280,257074
Charlottesville,16820,3.3,3.2,2.9,2.3,2.1,201891,203617,205532,206755,209187,211494,213675,216104,217335,218615
Chattanooga,16860,5.1,5,3.4,3.1,3.3,529131,533621,538103,542181,544183,547205,551859,555953,560832,565194
Cheyenne,16940,4.1,4.1,3.5,3.9,3.3,92236,92576,94697,95707,96036,96969,97887,98377,98865,99500
Chicago-Naperville-Elgin,16980,5.7,5.4,4.7,3.9,3.2,9470634,9500870,9528090,9550194,9560430,9552554,9533662,9514113,9484158,9458539
Chico,17020,6.9,6.3,5.1,5.5,4.2,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186
Cincinnati,17140,4.3,4,3.8,4,3.2,2140715,2146208,2152554,2162060,2172190,2181427,2191572,2202558,2211936,2221208
Clarksville,17300,5.8,5.2,3.7,3.5,3.7,274959,277405,287393,285441,289628,292878,293712,298635,304301,307820
Cleveland,17420,4.9,4.4,2.9,3,3.3,115896,116569,117673,118410,119455,120543,121184,122180,123968,124942
Cleveland-Elyria,17460,4,5.2,4.7,5,3.5,2075478,2068989,2064776,2067100,2067356,2064012,2060997,2057238,2053795,2048449
Coeur d'Alene,17660,5.1,4.8,4,3.7,3.8,138848,140932,142084,143897,146529,149367,153019,157320,161209,165697
College Station-Bryan,17780,3.2,3.4,2.7,2.7,2.5,229458,231435,234148,237816,242830,250567,254391,259123,261335,264728
Colorado Springs,17820,3.9,3.2,3.5,4.6,2.8,650500,660674,669448,678565,686562,697389,712335,724773,737202,745791
Columbia,17860,2.6,2.7,2.2,2.2,2.4,190947,194030,196540,198824,200492,202152,204049,205725,206746,208173
Columbus,17980,6.3,6.3,5.1,4.3,3.3,309476,315305,322721,327844,325273,322772,319040,315942,318211,321048
Corpus Christi,18580,5.3,6.1,5.2,4.5,4.2,404676,407721,413199,419080,423313,427621,428953,428445,428697,429024
Corvallis,18700,3.9,3.2,2.7,3,2,85574,86266,86678,86167,87215,88333,89918,91790,92442,93053
Crestview-Fort Walton Beach-Destin,18880,4.2,4.2,3,2.9,2.3,235932,238704,246952,251881,255801,260814,265492,271499,277666,284809
Cumberland,19060,6.7,5.6,5.6,5,4.9,103170,102629,101833,101267,100587,99879,99428,98575,97894,97284
Dallas-Fort Worth-Arlington,19100,3.6,3.7,3.1,3.3,2.9,6392065,6510544,6644559,6753889,6889769,7042566,7194758,7337097,7455756,7573136
Dalton,19140,5.9,6.1,5.5,4.9,4.7,142278,142285,142259,141906,142298,143099,143753,144037,144192,144724
Danville,19180,7.7,7.2,6,6.7,5.3,81640,81414,80862,80585,79783,79170,78494,77689,76702,75758
Decatur,19460,7.5,6.4,3.2,3.2,2.3,153950,154075,153908,153146,152888,152392,152233,151981,152144,152603
Deltona-Daytona Beach-Ormond Beach,19660,5.1,5.1,3.8,3.5,3,590506,591926,594969,600236,608604,621166,635859,647867,658186,668365
Denver-Aurora-Lakewood,19740,3.1,2.6,2.9,3.6,2.3,2554523,2602918,2650274,2700529,2753973,2812896,2856755,2891776,2931665,2967239
Des Moines-West Des Moines,19780,3.2,3.2,2.6,2.4,2.7,608930,618299,626778,637846,649652,659522,671055,681413,690915,699292
Detroit-Warren-Dearborn,19820,5.4,4.8,4.2,4.3,3.7,4291508,4291696,4300864,4305587,4311194,4309673,4316260,4321593,4322084,4319629
Dothan,20020,5.8,5.9,3.6,3.7,2.6,145871,146621,147448,147449,147830,147992,147784,147878,148249,149358
Dover,20100,4.6,4,4.2,3.2,3.8,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786
Dubuque,20220,3.6,3.4,3,2.5,3.1,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311
Duluth,20260,5.7,5.6,4.3,4,4.5,290542,290594,290176,290193,290261,289741,289395,289108,289260,288732
Durham-Chapel Hill,20500,4.6,4.2,3.8,3.3,2.9,566267,572520,581735,590364,599236,607706,618222,625678,637501,644367
Eau Claire,20740,4.1,3.7,2.8,2.9,3.5,161655,162886,163892,164822,165023,165501,166430,167329,168464,169304
El Centro,20940,21.5,18.8,17.9,17.7,19.4,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215
Elkhart-Goshen,21140,3.6,3.1,2.1,2.9,2.7,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341
Elmira,21300,5.6,5.1,5.5,4.1,4.5,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456
El Paso,21340,4.7,4.9,4,4,3.6,807048,823308,835667,834203,837089,835439,839203,842005,841613,844124
Erie,21500,4.5,6.1,5.1,4.3,5,280799,281327,281532,280717,279423,278174,276170,273558,271544,269728
Evansville,21780,4.1,3.9,2.8,3,2.8,311802,312698,313422,314331,314859,314983,315283,314791,314660,315086
Fairbanks,21820,5.7,5.7,6.6,5.8,5.3,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849
Fargo,22020,2.3,2.7,2.4,2.3,2.2,209455,213222,217610,223360,227790,232891,237244,241511,244311,246145
Farmington,22140,7.4,8.3,6.2,5.7,5.5,130203,129711,129756,129467,129084,128246,127954,126917,125499,123958
Fayetteville,22180,6.8,6.1,5.5,5,4.4,490446,499149,502672,509180,510635,511976,516822,517527,522461,526719
Fayetteville-Springdale-Rogers,22220,3.2,2.7,2.7,2.7,2.3,442301,452884,462291,471140,480513,491730,503806,515616,525239,534904
Flagstaff,22380,6.6,6,5,6.2,5.5,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476
Flint,22420,4.6,5,5.7,4.7,4,424953,422026,418193,415639,412859,410461,408926,407488,406688,405813
Florence,22500,6.2,4.6,4.8,3.7,2.5,205662,205800,206041,205986,206426,206235,205854,205476,205036,204911
Florence-Muscle Shoals,22520,6.8,6.5,3.7,4,3,147261,147146,147232,147230,147462,146876,146922,147259,147608,147970
Fond du Lac,22540,3.6,3,2.2,2.4,2.7,101576,101810,101788,101787,101977,101955,102211,102417,103001,103403
Fort Smith,22900,5.1,4.3,4.1,3.6,3.6,248344,249236,249491,248569,248220,248820,249170,250231,250298,250368
Fort Wayne,23060,4.3,3.7,2.8,3,2.8,389298,392332,394225,396638,398591,400806,402887,405445,409126,413263
Fresno,23420,10.2,9.5,8.1,7.4,6.9,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
Gadsden,23460,5.8,5.8,3.4,3.7,2.8,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
Gainesville,23540,4.1,4.2,3.2,3,2.5,305334,306979,308240,308865,311743,316031,321418,324485,327933,329128
Glens Falls,24020,5.5,5.4,5.7,4.7,5.1,129021,128827,128420,127848,127341,126666,126233,125924,125489,125148
Goldsboro,24140,5.7,5.7,5,4.1,3.5,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131
Grand Forks,24220,2.8,3,2.7,2.5,2.5,98633,98194,99093,100741,101260,101849,102171,102126,101766,100815
Grand Junction,24300,5.4,4.5,4.3,4.8,3.1,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210
Great Falls,24500,4.1,4,4,3.7,3.4,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366
Greeley,24540,3.4,2.6,2.7,3.4,2.3,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492
Green Bay,24580,3.9,3.4,2.5,2.6,2.9,306754,308613,310605,311947,314003,315652,317369,319694,321384,322906
Greensboro-High Point,24660,5.4,4.9,4.6,3.9,3.5,725264,730095,735475,740604,746497,751285,758635,762071,766473,771851
Greenville,24780,5.6,5.3,4.7,3.9,3.6,168863,170791,172980,174380,174974,176071,177171,178607,179575,180742
Hagerstown-Martinsburg,25180,4.7,3.9,3.9,3.6,3.1,269833,271983,273429,274926,276755,278236,280717,282958,285722,288104
Hanford-Corcoran,25260,10.7,9.9,8.4,8,7.7,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940
Harrisburg-Carlisle,25420,3.2,3.9,3.8,3.2,3.8,550088,552280,555057,558139,561164,564678,567510,570784,574149,577941
Harrisonburg,25500,3.9,3.6,3,2.5,2.1,125401,126796,128449,128956,130420,131120,132909,134041,134749,134964
Hattiesburg,25620,6.3,5,3.8,4,4.4,162856,164801,165994,166971,167179,167873,168158,167719,168292,168849
Hickory-Lenoir-Morganton,25860,5.2,4.8,4.2,3.5,3.2,365565,364478,363670,363379,363035,363346,364798,367085,368449,369711
Hot Springs,26300,5.1,4.3,3.9,4,3.5,96067,96854,96986,97654,97758,97814,98282,98327,98966,99386
Houston-The Woodlands-Sugar Land,26420,4.6,5.3,4.3,3.9,3.6,5947236,6056193,6183531,6328208,6500199,6671808,6806503,6900090,6976147,7066141
Huntington-Ashland,26580,5.8,5.3,5.2,5.1,4.8,371065,371126,370972,370179,368938,367224,365020,361970,359069,355873
Huntsville,26620,5.1,5.1,2.9,3.1,2.1,419276,425122,430056,435541,440395,444542,449576,455892,463181,471824
Idaho Falls,26820,3.1,2.9,2.4,2.2,2.3,133813,134959,136165,136840,137838,139542,142520,145512,148436,151530
Iowa City,26980,2.5,2.4,2.1,1.9,2.3,153025,155908,159006,162095,164759,167088,169054,171529,172607,173105
Ithaca,27060,3.5,3.4,3.9,3.1,3.2,101740,101821,102726,103553,103391,103006,102942,102664,102419,102180
Jackson,27100,6,4.8,4.4,3.8,3.2,160109,159658,159962,159628,159421,159264,158277,158563,158566,158510
Jacksonville,27260,5.8,5.5,3.4,3.1,2.6,1348907,1361972,1377607,1393432,1416446,1444638,1476023,1505033,1532663,1559514
Jefferson City,27620,3.2,3.3,2.8,2.6,2.8,149991,150413,150391,150669,150727,150928,151375,151319,151512,151235
Johnson City,27740,5.8,5.5,3.4,3.4,3.4,199010,199574,200473,200470,200021,200331,201457,201909,202900,203649
Johnstown,27780,5.4,6.3,5.3,4.8,5.8,143461,142579,141536,138826,137537,136028,134414,132960,131449,130192
Jonesboro,27860,4.1,3.2,3,3,2.7,121263,122854,124292,125840,126813,128459,129906,131259,132719,133860
Joplin,27900,3.3,3.9,2.9,2.7,3.2,175833,173846,174407,175144,175869,176686,177397,178239,178613,179564
Kalamazoo-Portage,28020,3.5,3.9,4.3,3.7,3,250751,252600,255353,257311,258951,259676,261304,262998,264680,265066
Kansas City,28140,3.7,3.9,3.3,3.1,3.1,2013361,2025490,2038586,2053850,2069182,2085913,2107066,2127203,2144427,2157990
Kingston,28740,4.3,4.3,4.4,3.6,3.7,182418,182448,181538,180698,180400,179658,179042,178635,178418,177573
Knoxville,28940,5,4.6,2.9,2.8,2.9,815984,820702,825007,829017,832928,837818,844942,853645,861234,869046
Kokomo,29020,4.8,4.3,3,3.8,3.4,82752,82797,82839,82738,82605,82338,82304,82210,82257,82544
Lafayette,29140,5.6,6.1,4.2,4.3,4.9,467612,470935,474205,479794,484876,489507,490877,490299,489680,489207
Lake Charles,29340,4.2,4.4,3.2,3.4,4.3,199943,200534,201110,202205,203296,205275,207464,209410,210190,210409
Lake Havasu City-Kingman,29420,7.5,6,5.7,6.1,5.4,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181
Lakeland-Winter Haven,29460,5.4,5.4,4.1,3.7,3,603102,609948,615453,622633,634398,648523,665823,685368,706597,724777
Lancaster,29540,3,3.7,3.3,3,3.4,520319,523957,526878,530012,533289,535811,538160,541332,543969,545724
Lansing-East Lansing,29620,3.2,3.3,3.9,3.2,2.7,534899,536605,537005,538089,540028,541271,545146,548380,548674,550391
Laredo,29700,4.5,4.5,3.4,3.7,3.6,251370,255935,260595,264430,267465,269865,272301,273691,275120,276652
Las Cruces,29740,6.8,6.7,6.1,5.5,5.2,210097,213126,214450,214288,213933,214034,214663,216174,217278,218195
